pools
shipping-api-primary-alert-master-vir
shipping-api-primary-bundle_shipments-master-vir
shipping-api-primary-bundle_shipments_write-master-vir
shipping-api-primary-conciliation-master-vir
shipping-api-primary-hub_notifications-master-vir
shipping-api-primary-internal_operations-master-vir
shipping-api-primary-labelsCorreiosHigh-master-vir
shipping-api-primary-labelsCorreiosLow-master-vir
shipping-api-primary-labelsDefaultHigh-master-vir
shipping-api-primary-labelsDefaultLow-master-vir
shipping-api-primary-labels-master-vir
shipping-api-primary-labelsPickupList-master-vir
shipping-api-primary-modes_internal-master-vir
shipping-api-primary-modes-master-vir
shipping-api-primary-notification-master-vir
shipping-api-primary-put_items-master-vir
shipping-api-primary-read-master-vir
shipping-api-primary-read_non_critical-master-vir
shipping-api-primary-restrictions-master-vir
shipping-api-primary-search-master-vir
shipping-api-primary-shipments-master-vir
shipping-api-primary-tracking-master-vir
shipping-api-primary-write-master-vir
shipping-api-primary-shipments_write-master-vir
shipping-jobs-jobs-auth-master-vir
shipping-jobs-jobs-auth_search-master-vir
shipping-jobs-jobs-bundle_feeds-master-vir
shipping-jobs-jobs-bundle_metrics-master-vir
shipping-jobs-jobs-cache-master-vir
shipping-jobs-jobs-cancellation-master-vir
shipping-jobs-jobs-categories-master-vir
shipping-jobs-jobs-contingency-master-vir
shipping-jobs-jobs-conciliation-master-vir
shipping-jobs-jobs-conciliation_search-master-vir
shipping-jobs-jobs-feed-master-vir
shipping-jobs-jobs-gz_migration-master-vir
shipping-jobs-jobs-ht-master-vir
shipping-jobs-jobs-ht_search-master-vir
shipping-jobs-jobs-hub_feeds-master-vir
shipping-jobs-jobs-hub_feeds_search-master-vir
shipping-jobs-jobs-legacy-master-vir
shipping-jobs-jobs-logs-master-vir
shipping-jobs-jobs-mail_feeds-master-vir
shipping-jobs-jobs-mail_migration-master-vir
shipping-jobs-jobs-mark_items-master-vir
shipping-jobs-jobs-other_feeds-master-vir
shipping-jobs-jobs-speeds-master-vir
shipping-jobs-jobs-statistics-master-vir
shipping-jobs-jobs-tracking_pull-master-vir
shipping-jobs-jobs-tracking-master-vir
shipping-jobs-jobs-vital_feeds-master-vir
shipping-jobs-jobs-tracking_search-master-vir
shipping-mailing-mailing-legacy-master-vir
shipping-mailing-mailing-mail_feeds-master-vir
shipping-mailing-mailing-other_feeds-master-vir
shipping-search-webserver-write-master-vir
shipping-search-webserver-read-master-vir
shipping-tracking-tracking-conciliation_search-master-vir
shipping-tracking-tracking-tracking_pull-master-vir
shipping-tracking-tracking-tracking-master-vir
shipping-tracking-tracking-tracking_search-master-vir
